,A,B,C,D,E,F,G,H,J,K,Frequency,Data Accuracy,Technical Maturity,Setup time,Safety,Human Judgement,Cost_norm,Cost,Utility
131,A1,B4,C2,D3,E3,F1,G4,H1,J3,K1,0.85,0.5,0.17,0.61,0.6,0.5,0.14,155000.0,0.52
132,A1,B4,C2,D3,E3,F1,G4,H1,J3,K2,0.85,0.5,0.17,0.69,0.6,0.5,0.14,155000.0,0.53
133,A1,B4,C2,D3,E3,F1,G4,H1,J3,K3,0.85,0.5,0.17,0.75,0.24,1.0,0.22,1645000.0,0.52
134,A1,B4,C2,D3,E3,F1,G4,H1,J3,K4,0.85,0.5,0.17,0.55,0.96,0.5,0.12,150000.0,0.55
135,A2,B1,C2,D2,E3,F1,G1,H1,J3,K1,0.5,0.92,0.6,0.38,0.54,0.0,0.26,445000.0,0.75
136,A2,B1,C2,D2,E3,F1,G1,H1,J3,K2,0.5,0.92,0.6,0.46,0.54,0.0,0.26,445000.0,0.75
137,A2,B1,C2,D2,E3,F1,G1,H1,J3,K3,0.5,0.92,0.6,0.52,0.19,0.5,0.34,1935000.0,0.75
138,A2,B1,C2,D2,E3,F1,G1,H1,J3,K4,0.5,0.92,0.6,0.32,0.9,0.0,0.24,440000.0,0.78
139,A2,B1,C2,D2,E3,F1,G2,H1,J3,K1,0.5,0.92,0.33,0.48,0.54,0.0,0.24,345000.0,0.74
140,A2,B1,C2,D2,E3,F1,G2,H1,J3,K2,0.5,0.92,0.33,0.56,0.54,0.0,0.24,345000.0,0.75
141,A2,B1,C2,D2,E3,F1,G2,H1,J3,K3,0.5,0.92,0.33,0.62,0.19,0.5,0.32,1835000.0,0.75
142,A2,B1,C2,D2,E3,F1,G2,H1,J3,K4,0.5,0.92,0.33,0.42,0.9,0.0,0.22,340000.0,0.77
143,A2,B1,C2,D2,E3,F1,G3,H1,J3,K1,0.5,0.92,0.47,0.42,0.54,0.0,0.24,345000.0,0.74
144,A2,B1,C2,D2,E3,F1,G3,H1,J3,K2,0.5,0.92,0.47,0.5,0.54,0.0,0.24,345000.0,0.75
145,A2,B1,C2,D2,E3,F1,G3,H1,J3,K3,0.5,0.92,0.47,0.56,0.19,0.5,0.32,1835000.0,0.75
146,A2,B1,C2,D2,E3,F1,G3,H1,J3,K4,0.5,0.92,0.47,0.36,0.9,0.0,0.22,340000.0,0.77
147,A2,B1,C2,D2,E3,F1,G4,H1,J3,K1,0.5,0.92,0.27,0.58,0.54,0.0,0.2,300000.0,0.75
148,A2,B1,C2,D2,E3,F1,G4,H1,J3,K2,0.5,0.92,0.27,0.66,0.54,0.0,0.2,300000.0,0.76
149,A2,B1,C2,D2,E3,F1,G4,H1,J3,K3,0.5,0.92,0.27,0.72,0.19,0.5,0.28,1790000.0,0.75
150,A2,B1,C2,D2,E3,F1,G4,H1,J3,K4,0.5,0.92,0.27,0.52,0.9,0.0,0.18,295000.0,0.78
151,A2,B1,C2,D3,E3,F1,G1,H1,J3,K1,0.5,0.92,0.5,0.46,0.54,0.0,0.2,300000.0,0.75
152,A2,B1,C2,D3,E3,F1,G1,H1,J3,K2,0.5,0.92,0.5,0.54,0.54,0.0,0.2,300000.0,0.76
153,A2,B1,C2,D3,E3,F1,G1,H1,J3,K3,0.5,0.92,0.5,0.6,0.19,0.5,0.28,1790000.0,0.75
154,A2,B1,C2,D3,E3,F1,G1,H1,J3,K4,0.5,0.92,0.5,0.4,0.9,0.0,0.18,295000.0,0.78
155,A2,B1,C2,D3,E3,F1,G2,H1,J3,K1,0.5,0.92,0.23,0.56,0.54,0.0,0.18,200000.0,0.74
156,A2,B1,C2,D3,E3,F1,G2,H1,J3,K2,0.5,0.92,0.23,0.64,0.54,0.0,0.18,200000.0,0.75
157,A2,B1,C2,D3,E3,F1,G2,H1,J3,K3,0.5,0.92,0.23,0.7,0.19,0.5,0.26,1690000.0,0.75
158,A2,B1,C2,D3,E3,F1,G2,H1,J3,K4,0.5,0.92,0.23,0.5,0.9,0.0,0.16,195000.0,0.77
159,A2,B1,C2,D3,E3,F1,G3,H1,J3,K1,0.5,0.92,0.37,0.5,0.54,0.0,0.18,200000.0,0.75
160,A2,B1,C2,D3,E3,F1,G3,H1,J3,K2,0.5,0.92,0.37,0.58,0.54,0.0,0.18,200000.0,0.75
161,A2,B1,C2,D3,E3,F1,G3,H1,J3,K3,0.5,0.92,0.37,0.64,0.19,0.5,0.26,1690000.0,0.75
162,A2,B1,C2,D3,E3,F1,G3,H1,J3,K4,0.5,0.92,0.37,0.44,0.9,0.0,0.16,195000.0,0.78
163,A2,B1,C2,D3,E3,F1,G4,H1,J3,K1,0.5,0.92,0.17,0.66,0.54,0.0,0.14,155000.0,0.75
164,A2,B1,C2,D3,E3,F1,G4,H1,J3,K2,0.5,0.92,0.17,0.74,0.54,0.0,0.14,155000.0,0.76
165,A2,B1,C2,D3,E3,F1,G4,H1,J3,K3,0.5,0.92,0.17,0.8,0.19,0.5,0.22,1645000.0,0.76
166,A2,B1,C2,D3,E3,F1,G4,H1,J3,K4,0.5,0.92,0.17,0.6,0.9,0.0,0.12,150000.0,0.78
167,A2,B2,C2,D2,E3,F1,G1,H1,J3,K1,0.5,0.92,0.63,0.33,0.54,0.0,0.3,895000.0,0.74
168,A2,B2,C2,D2,E3,F1,G1,H1,J3,K2,0.5,0.92,0.63,0.41,0.54,0.0,0.3,895000.0,0.75
169,A2,B2,C2,D2,E3,F1,G1,H1,J3,K3,0.5,0.92,0.63,0.47,0.19,0.5,0.38,2385000.0,0.75
170,A2,B2,C2,D2,E3,F1,G1,H1,J3,K4,0.5,0.92,0.63,0.27,0.9,0.0,0.28,890000.0,0.77
171,A2,B2,C2,D2,E3,F1,G2,H1,J3,K1,0.5,0.92,0.37,0.43,0.54,0.0,0.28,795000.0,0.74
172,A2,B2,C2,D2,E3,F1,G2,H1,J3,K2,0.5,0.92,0.37,0.51,0.54,0.0,0.28,795000.0,0.75
173,A2,B2,C2,D2,E3,F1,G2,H1,J3,K3,0.5,0.92,0.37,0.57,0.19,0.5,0.36,2285000.0,0.74
174,A2,B2,C2,D2,E3,F1,G2,H1,J3,K4,0.5,0.92,0.37,0.37,0.9,0.0,0.26,790000.0,0.77
175,A2,B2,C2,D2,E3,F1,G3,H1,J3,K1,0.5,0.92,0.5,0.37,0.54,0.0,0.28,795000.0,0.74
176,A2,B2,C2,D2,E3,F1,G3,H1,J3,K2,0.5,0.92,0.5,0.45,0.54,0.0,0.28,795000.0,0.75
177,A2,B2,C2,D2,E3,F1,G3,H1,J3,K3,0.5,0.92,0.5,0.51,0.19,0.5,0.36,2285000.0,0.74
178,A2,B2,C2,D2,E3,F1,G3,H1,J3,K4,0.5,0.92,0.5,0.31,0.9,0.0,0.26,790000.0,0.77
179,A2,B2,C2,D2,E3,F1,G4,H1,J3,K1,0.5,0.92,0.3,0.53,0.54,0.0,0.24,750000.0,0.75
180,A2,B2,C2,D2,E3,F1,G4,H1,J3,K2,0.5,0.92,0.3,0.61,0.54,0.0,0.24,750000.0,0.75
181,A2,B2,C2,D2,E3,F1,G4,H1,J3,K3,0.5,0.92,0.3,0.67,0.19,0.5,0.32,2240000.0,0.75
182,A2,B2,C2,D2,E3,F1,G4,H1,J3,K4,0.5,0.92,0.3,0.47,0.9,0.0,0.22,745000.0,0.78
183,A2,B2,C2,D3,E3,F1,G1,H1,J3,K1,0.5,0.92,0.53,0.41,0.54,0.0,0.24,750000.0,0.74
184,A2,B2,C2,D3,E3,F1,G1,H1,J3,K2,0.5,0.92,0.53,0.49,0.54,0.0,0.24,750000.0,0.75
185,A2,B2,C2,D3,E3,F1,G1,H1,J3,K3,0.5,0.92,0.53,0.55,0.19,0.5,0.32,2240000.0,0.75
186,A2,B2,C2,D3,E3,F1,G1,H1,J3,K4,0.5,0.92,0.53,0.35,0.9,0.0,0.22,745000.0,0.77
187,A2,B2,C2,D3,E3,F1,G2,H1,J3,K1,0.5,0.92,0.27,0.51,0.54,0.0,0.22,650000.0,0.74
188,A2,B2,C2,D3,E3,F1,G2,H1,J3,K2,0.5,0.92,0.27,0.59,0.54,0.0,0.22,650000.0,0.75
189,A2,B2,C2,D3,E3,F1,G2,H1,J3,K3,0.5,0.92,0.27,0.65,0.19,0.5,0.3,2140000.0,0.75
190,A2,B2,C2,D3,E3,F1,G2,H1,J3,K4,0.5,0.92,0.27,0.45,0.9,0.0,0.2,645000.0,0.77
191,A2,B2,C2,D3,E3,F1,G3,H1,J3,K1,0.5,0.92,0.4,0.45,0.54,0.0,0.22,650000.0,0.74
192,A2,B2,C2,D3,E3,F1,G3,H1,J3,K2,0.5,0.92,0.4,0.53,0.54,0.0,0.22,650000.0,0.75
193,A2,B2,C2,D3,E3,F1,G3,H1,J3,K3,0.5,0.92,0.4,0.59,0.19,0.5,0.3,2140000.0,0.75
194,A2,B2,C2,D3,E3,F1,G3,H1,J3,K4,0.5,0.92,0.4,0.39,0.9,0.0,0.2,645000.0,0.77
195,A2,B2,C2,D3,E3,F1,G4,H1,J3,K1,0.5,0.92,0.2,0.61,0.54,0.0,0.18,605000.0,0.75
196,A2,B2,C2,D3,E3,F1,G4,H1,J3,K2,0.5,0.92,0.2,0.69,0.54,0.0,0.18,605000.0,0.76
197,A2,B2,C2,D3,E3,F1,G4,H1,J3,K3,0.5,0.92,0.2,0.75,0.19,0.5,0.26,2095000.0,0.75
198,A2,B2,C2,D3,E3,F1,G4,H1,J3,K4,0.5,0.92,0.2,0.55,0.9,0.0,0.16,600000.0,0.78
199,A2,B3,C2,D2,E3,F1,G1,H1,J3,K1,0.5,0.75,0.5,0.41,0.54,0.0,0.24,405000.0,0.63
